"","AT","P","D","SW","EXTENSION","A","RTP"
"1","LSTM",2226361,"IMDB",8.69,"baseline",91.66,195
"2","LSTM",2290901,"IMDB",8.95,"nn",50,202
"3","LSTM",2418566,"IMDB",9.45,"nn",50,202
"4","LSTM",2744821,"IMDB",10.72,"nn",50,202
"5","LSTM",6678881,"IMDB",26.09,"emb",75,195
"6","LSTM",14248165,"IMDB",55.65,"emb",100,195
"7","LSTM",28496229,"IMDB",111.315,"emb",66.66,195
"8","Transformer",2227711,"IMDB",8.7,"baseline",81.25,274
"9","Transformer",2236411,"IMDB",8.75,"nn",81.25,274
"10","Transformer",2259211,"IMDB",8.87,"nn",87.5,274
"11","Transformer",2343211,"IMDB",9.22,"nn",50,274
"12","Transformer",6690331,"IMDB",26.14,"emb",81.25,274
"13","Transformer",14298817,"IMDB",55.86,"emb",75,274
"14","Transformer",28695937,"IMDB",112.1,"emb",50,274
